ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Location,SubGroup,Number
SantaMariaNutioMixtec,SantaMariaNutioMixtec,,,,,16.48542,-97.90405,,Santa María Nutio,Mixtec,102
SantoDomingoNuxaaMixtec,SantoDomingoNuxaaMixtec,,,,,17.21663,-97.12285,,Santo Domingo Nuxaá,Mixtec,103
SanAndresNuxinoMixtec,SanAndresNuxinoMixtec,,,,,17.23883,-97.10497,,San Andrés Nuxiño,Mixtec,104
SantiagoNuyooMixtec,SantiagoNuyooMixtec,nuyo1238,,meh,,17.0147,-97.76674,,Santiago Nuyoó,Mixtec,105
SantoTomasOcotepecMixtec_A,SantoTomasOcotepecMixtec_A,ocot1243,,mie,,17.14419,-97.76322,,Santo Tomás Ocotepec,Mixtec,106
SantoTomasOcotepecMixtec_B,SantoTomasOcotepecMixtec_B,ocot1243,,mie,,17.14419,-97.76322,,Santo Tomás Ocotepec,Mixtec,107
SantaMariaPapaloCuicatec,SantaMariaPapaloCuicatec,sant1437,,cux,,17.26813,-96.56338,,Santa María Pápalo,Cuicatec,108
MagdalenaPenascoMixtec,MagdalenaPenascoMixtec,magd1235,,xtm,,17.2837,-97.5413,,Magdalena Peñasco,Mixtec,109
SanMateoPenascoMixtec,SanMateoPenascoMixtec,sanm1293,,xtm,,17.15127,-97.53321,,San Mateo Peñasco,Mixtec,110
SantaMariaPenolesMixtec,SantaMariaPenolesMixtec,sant1445,,mil,,17.07959,-97.00272,,Santa María Peñoles,Mixtec,111
SanMartinPerasMixtec,SanMartinPerasMixtec,sanm1291,,jmx,,17.35912,-98.23725,,San Martín Peras,Mixtec,113
SanMiguelPiedrasMixtec,SanMiguelPiedrasMixtec,sanm1294,,xtp,,16.9944,-97.2056,,San Miguel Piedras,Mixtec,115
PiedraAzulMixtec,PiedraAzulMixtec,,,,,17.380833,-98.185833,,Piedra Azul,Mixtec,116
SantiagoPinotepaNacionalMixtec,SantiagoPinotepaNacionalMixtec,pino1237,,mio,,16.3043,-97.9966,,Santiago Pinotepa Nacional,Mixtec,118
PinotepaDonLuisMixtec,PinotepaDonLuisMixtec,pino1237,,mio,,16.42666,-97.97647,,Pinotepa de Don Luis,Mixtec,119
SanMiguelProgresoMixtec,SanMiguelProgresoMixtec,,,,,17.1743,-97.79838,,San Miguel Progreso,Mixtec,122
SanJeronimoProgresoMixtec_A,SanJeronimoProgresoMixtec_A,sila1250,,mks,,17.44616,-98.15466,,San Jerónimo Progreso,Mixtec,123
SanJeronimoProgresoMixtec_B,SanJeronimoProgresoMixtec_B,sila1250,,mks,,17.44616,-98.15466,,San Jerónimo Progreso,Mixtec,124
Proto-Mixtec,Proto-Mixtec,mixt1427,,,,,,,Proto-Mixtec,Mixtec,125
SantosReyesTepejilloMixtec,SantosReyesTepejilloMixtec,,,,,17.43262,-97.93997,,Santos Reyes Tepejillo,Mixtec,127
SanFranciscoSayultepecMixtec,SanFranciscoSayultepecMixtec,pino1237,,mio,,16.59537,-98.12933,,San Francisco Sayultepec,Mixtec,128
SanMateoSindihuiMixtec,SanMateoSindihuiMixtec,sind1277,,xts,,17.02,-97.3036,,San Mateo Sindihui,Mixtec,130
SanJoseSinicahuaMixtec,SanJoseSinicahuaMixtec,sini1243,,xti,,17.2218,-97.5904,,San José Sinicahua,Mixtec,131
SanJeronimoSosolaMixtec,SanJeronimoSosolaMixtec,,,,,17.36657,-97.03295,,San Jerónimo Sosola,Mixtec,132
SanBartoloSoyaltepecMixtec,SanBartoloSoyaltepecMixtec,soya1236,,vmq,,17.5892,-97.1921,,San Bartolo Soyaltepec,Mixtec,133
SanJuanTamazolaMixtec,SanJuanTamazolaMixtec,tama1339,,vmx,,17.1258,-97.0998,,San Juan Tamazola,Mixtec,134
SantiagoTamazolaMixtec,SantiagoTamazolaMixtec,,,,,17.67041,-98.2216,,Santiago Tamazola,Mixtec,135
SantaMariaTataltepecMixtec,SantaMariaTataltepecMixtec,sant1444,,,,17.14222,-97.39407,,Santa María Tataltepec,Mixtec,136
SanSebastianTecomaxtlahuacaMixtec,SanSebastianTecomaxtlahuacaMixtec,,,,,17.34568,-98.0312,,San Sebastián Tecomaxtlahuaca,Mixtec,137
SanJuanTeitaMixtec,SanJuanTeitaMixtec,sanj1282,,xtj,,17.1542,-97.3899,,San Juan Teita,Mixtec,138
LosTejocotesMixtec,LosTejocotesMixtec,,,,,17.31342,-97.89609,,Los Tejocotes,Mixtec,139
SanJuanTepeuxila1900Cuicatec,SanJuanTepeuxila1900Cuicatec,tepe1280,,cux,,18.72299,-95.84118,,San Juan Tepeuxila 1900,Cuicatec,142
TepejilloMixtec,TepejilloMixtec,,,,,18.05265,-97.83906,,Tepejillo,Mixtec,143
SanAntonioTepetlapaMixtec,SanAntonioTepetlapaMixtec,,,,,16.54182,-98.06578,,San Antonio Tepetlapa,Mixtec,144
SanPedroySanPabloTeposcolula1600Mixtec,SanPedroySanPabloTeposcolula1600Mixtec,,,,,17.51167,-97.48883,,San Pedro y San Pablo Teposcolula 1600,Mixtec,146
SanPedroTidaaMixtec,SanPedroTidaaMixtec,tida1235,,mtx,,17.4142,-97.3333,,San Pedro Tidaá,Mixtec,150
SantiagoTilantongoMixtec,SantiagoTilantongoMixtec,diux1236,,xtd,,17.3596,-97.3861,,Santiago Tilantongo,Mixtec,152
SanAgustinTlacotepecMixtec,SanAgustinTlacotepecMixtec,sana1284,,xtm,,17.20365,-97.51853,,San Agustín Tlacotepec,Mixtec,154
SanMiguelTlacotepecMixtec,SanMiguelTlacotepecMixtec,,,,,17.45511,-98.00552,,San Miguel Tlacotepec,Mixtec,155
TlahuapaMixtec,TlahuapaMixtec,alco1235,,xta,,17.37553,-98.33826,,Tlahuapa,Mixtec,156
SantaCatarinaTlaltempanMixtec,SantaCatarinaTlaltempanMixtec,,,,,18.61485,-98.08867,,Santa Catarina Tlaltempan,Mixtec,157
SantiagoTlazoyaltepecMixtec,SantiagoTlazoyaltepecMixtec,sant1446,,mqh,,17.0274,-96.99583,,Santiago Tlazoyaltepec,Mixtec,158
SantoDomingoTonahuixtlaMixtec,SantoDomingoTonahuixtlaMixtec,,,,,18.20057,-97.89437,,Santo Domingo Tonahuixtla,Mixtec,160
TotoltepecGuerreroMixtec,TotoltepecGuerreroMixtec,chaz1235,,xtb,,18.22581,-97.85526,,Totoltepec de Guerrero,Mixtec,162
SanPedroTututepecMixtec,SanPedroTututepecMixtec,tutu1243,,mtu,,16.12987,-97.6085,,San Pedro Tututepec,Mixtec,164
SanJeronimoXayacatlanMixtec,SanJeronimoXayacatlanMixtec,south3001,,mit,,18.22159,-97.91563,,San Jerónimo Xayacatlán,Mixtec,165
XayacatlanBravoMixtec,XayacatlanBravoMixtec,south3001,,mit,,18.2353,-97.97435,,Xayacatlán de Bravo,Mixtec,166
XochapaMixtec,XochapaMixtec,xoch1238,,xta,,17.38134,-98.44988,,Xochapa,Mixtec,167
SantaMariaYolotepecMixtec,SantaMariaYolotepecMixtec,taca1257,,xtt,,16.9648,-97.4537,,Santa María Yolotepec,Mixtec,168
YoloxochitlMixtec,YoloxochitlMixtec,yolo1241,,xty,,16.8059,-98.6293,,Yoloxochitl,Mixtec,169
SantiagoYosonduaMixtec_A,SantiagoYosonduaMixtec_A,yoso1239,,mpm,,16.9042,-97.5018,,Santiago Yosondúa,Mixtec,170
SantiagoYosonduaMixtec_B,SantiagoYosonduaMixtec_B,yoso1239,,mpm,,16.9042,-97.5018,,Santiago Yosondúa,Mixtec,171
SanPedroYosonamaMixtec,SanPedroYosonamaMixtec,yoso1238,,xtn,,17.4272,-97.77267,,San Pedro Yosoñama,Mixtec,174
SanBartolomeYucuaneMixtec,SanBartolomeYucuaneMixtec,yucu1250,,mvg,,17.2832,-97.4285,,San Bartolomé Yucuañe,Mixtec,175
SantaMariaYucuhitiMixtec,SantaMariaYucuhitiMixtec,yucu1249,,meh,,17.03036,-97.78237,,Santa María Yucuhiti,Mixtec,176
YucunutiBenitoJuarezMixtec,YucunutiBenitoJuarezMixtec,yucu1251,,mxb,,17.63409,-97.89151,,Yucuñuti de Benito Juárez,Mixtec,177
SanPedroYucunamaMixtec,SanPedroYucunamaMixtec,,,,,17.56221,-97.48291,,San Pedro Yucunama,Mixtec,178
SantaMariaYucunicocoMixtec,SantaMariaYucunicocoMixtec,,,,,17.2372,-97.91806,,Santa María Yucunicoco,Mixtec,179
YucuquimiOcampoMixtec,YucuquimiOcampoMixtec,,,,,17.57853,-97.89014,,Yucuquimi de Ocampo,Mixtec,180
YucunaniMixtec,YucunaniMixtec,mixt1425,,mix,,17.300827,-97.893888,,Yucunani,Mixtec,181
YutanduchiGuerreroMixtec,YutanduchiGuerreroMixtec,yuta1240,,mab,,17.0311,-97.2293,,Yutanduchi de Guerrero,Mixtec,182
SanJuanYutaMixtec,SanJuanYutaMixtec,,,,,17.02228,-97.17054,,San Juan Yuta,Mixtec,183
SanAndresYutatioMixtec,SanAndresYutatioMixtec,,,,,17.60626,-97.89428,,San Andrés Yutatío,Mixtec,184
SantaMariaZacatepecMixtec,SantaMariaZacatepecMixtec,sant1436,,mza,,16.7003,-97.9484,,Santa María Zacatepec,Mixtec,185
ZapotitlanPalmasMixtec,ZapotitlanPalmasMixtec,,,,,17.88959,-97.82406,,Zapotitlán Palmas,Mixtec,187
