ID	Number	Name	Location	SubGroup	Latitude	Longitude	Glottocode	ISO639P3code
SantiagoJuxtlahuacaMixtec	81	SantiagoJuxtlahuacaMixtec	Santiago Juxtlahuaca	Mixtec	17.3518	-98.0146	juxt1235	vmc
SanLorenzoMixtec	82	SanLorenzoMixtec	San Lorenzo	Mixtec	17.66757	-98.11901		
SantaCatarinaMechoacanMixtec	83	SantaCatarinaMechoacanMixtec	Santa Catarina Mechoacán	Mixtec	16.33471	-97.83626	chay1249	mih
MetlatonocMixtec	84	MetlatonocMixtec	Metlatónoc	Mixtec	17.1947	-98.3514	metl1238	mxv
ElRosarioMicaltepecMixtec	85	ElRosarioMicaltepecMixtec	El Rosario Micaltepec	Mixtec	18.04537	-97.85057		
SantiagoMitlatongoMixtec	86	SantiagoMitlatongoMixtec	Santiago Mitlatongo	Mixtec	17.16	-97.1757	mitl1235	vmm
SanJuanMixtepecMixtec	87	SanJuanMixtepecMixtec	San Juan Mixtepec	Mixtec	17.3317	-97.8791	mixt1425	mix
SanPedroMolinosMixtec	88	SanPedroMolinosMixtec	San Pedro Molinos	Mixtec	17.10495	-97.54152	sanp1259	mig
SanAntoninoMonteVerdeMixtec	89	SanAntoninoMonteVerdeMixtec	San Antonino Monte Verde	Mixtec	17.53375	-97.72149	mont1271	xtn
SanSebastianMonteMixtec_A	90	SanSebastianMonteMixtec_A	San Sebastián del Monte	Mixtec	17.6793	-98.02259	sila1250	mks
SanSebastianMonteMixtec_B	91	SanSebastianMonteMixtec_B	San Sebastián del Monte	Mixtec	17.6793	-98.02259	sila1250	mks
SantaLuciaMonteverdeMixtec	92	SantaLuciaMonteverdeMixtec	Santa Lucía Monteverde	Mixtec	16.9969	-97.6277	sant1439	mdv
SanAgustinMonteLobosMixtec	93	SanAgustinMonteLobosMixtec	San Agustín Monte Lobos	Mixtec	17.63031	-97.28821		
SanLuisMoreliaMixtec	94	SanLuisMoreliaMixtec	San Luis Morelia	Mixtec	17.70342	-98.21456	tama1339	vmx
SanAntonioNduayacoMixtec	95	SanAntonioNduayacoMixtec	San Antonio Nduayaco	Mixtec	17.68547	-97.14745	apas1235	mip
SanSebastianNicanandutaMixtec	96	SanSebastianNicanandutaMixtec	San Sebastián Nicananduta	Mixtec	17.51737	-97.68345	nort2985	xtn
SanJorgeNuchitaMixtec	97	SanJorgeNuchitaMixtec	San Jorge Nuchita	Mixtec	17.65569	-98.10499	sila1250	mks
SanJuanNumiMixtec	98	SanJuanNumiMixtec	San Juan Ñumi	Mixtec	17.39759	-97.70603	nort2985	xtn
SantaCruzNundacoMixtec	99	SantaCruzNundacoMixtec	Santa Cruz Nundaco	Mixtec	17.17339	-97.72325		
SantiagoNundicheMixtec	100	SantiagoNundicheMixtec	Santiago Nundiche	Mixtec	17.3312	-97.67444	nort2985	xtn
SantoDomingoNundoMixtec	101	SantoDomingoNundoMixtec	Santo Domingo Nundo	Mixtec	17.60855	-97.68566		
SantaMariaNutioMixtec	102	SantaMariaNutioMixtec	Santa María Nutio	Mixtec	16.48542	-97.90405		
SantoDomingoNuxaaMixtec	103	SantoDomingoNuxaaMixtec	Santo Domingo Nuxaá	Mixtec	17.21663	-97.12285		
SanAndresNuxinoMixtec	104	SanAndresNuxinoMixtec	San Andrés Nuxiño	Mixtec	17.23883	-97.10497		
SantiagoNuyooMixtec	105	SantiagoNuyooMixtec	Santiago Nuyoó	Mixtec	17.0147	-97.76674	nuyo1238	meh
SantoTomasOcotepecMixtec_A	106	SantoTomasOcotepecMixtec_A	Santo Tomás Ocotepec	Mixtec	17.14419	-97.76322	ocot1243	mie
SantoTomasOcotepecMixtec_B	107	SantoTomasOcotepecMixtec_B	Santo Tomás Ocotepec	Mixtec	17.14419	-97.76322	ocot1243	mie
SantaMariaPapaloCuicatec	108	SantaMariaPapaloCuicatec	Santa María Pápalo	Cuicatec	17.7842	-96.79719	sant1437	cux
MagdalenaPenascoMixtec	109	MagdalenaPenascoMixtec	Magdalena Peñasco	Mixtec	17.2837	-97.5413	magd1235	xtm
SanMateoPenascoMixtec	110	SanMateoPenascoMixtec	San Mateo Peñasco	Mixtec	17.15127	-97.53321	sanm1293	xtm
SantaMariaPenolesMixtec	111	SantaMariaPenolesMixtec	Santa María Peñoles	Mixtec	17.07959	-97.00272	sant1445	mil
SantaMariaPenolesMixtec	112	SantaMariaPenolesMixtec	Santa María Peñoles	Mixtec	17.0671	-97.0101	peno1244	mil
SanMartinPerasMixtec	113	SanMartinPerasMixtec	San Martín Peras	Mixtec	17.35912	-98.23725	sanm1291	jmx
PetlacalancingoMixtec	114	PetlacalancingoMixtec	Petlacalancingo	Mixtec	17.37597	-98.49096	petl1238	xta
SanMiguelPiedrasMixtec	115	SanMiguelPiedrasMixtec	San Miguel Piedras	Mixtec	16.9944	-97.2056	sanm1294	xtp
PiedraAzulMixtec	116	PiedraAzulMixtec	Piedra Azul	Mixtec	17.380833	-98.185833		
SanJuanPinasMixtec	117	SanJuanPinasMixtec	San Juan Piñas	Mixtec	17.22264	-98.14487	sanj1280	jmx
SantiagoPinotepaNacionalMixtec	118	SantiagoPinotepaNacionalMixtec	Santiago Pinotepa Nacional	Mixtec	16.3043	-97.9966	pino1237	mio
PinotepaDonLuisMixtec	119	PinotepaDonLuisMixtec	Pinotepa de Don Luis	Mixtec	16.42666	-97.97647	pino1237	mio
PlanGuadalupeMixtec	120	PlanGuadalupeMixtec	Plan de Guadalupe	Mixtec	17.21731	-97.7826	plan1238	mim
PotoichanMixtec	121	PotoichanMixtec	Potoichan	Mixtec	17.42233	-98.72009	poto1253	mim
SanMiguelProgresoMixtec	122	SanMiguelProgresoMixtec	San Miguel Progreso	Mixtec	17.1743	-97.79838		
SanJeronimoProgresoMixtec_A	123	SanJeronimoProgresoMixtec_A	San Jerónimo Progreso	Mixtec	17.44616	-98.15466	sila1250	mks
SanJeronimoProgresoMixtec_B	124	SanJeronimoProgresoMixtec_B	San Jerónimo Progreso	Mixtec	17.44616	-98.15466	sila1250	mks
Proto-Mixtec	125	Proto-Mixtec	Proto-Mixtec	Mixtec			mixt1427	
Proto-Triqui	126	Proto-Triqui	Proto-Triqui	Triqui			triq1251	
SantosReyesTepejilloMixtec	127	SantosReyesTepejilloMixtec	Santos Reyes Tepejillo	Mixtec	17.43262	-97.93997		
SanFranciscoSayultepecMixtec	128	SanFranciscoSayultepecMixtec	San Francisco Sayultepec	Mixtec	16.59537	-98.12933	pino1237	mio
SilacayoapamMixtec	129	SilacayoapamMixtec	Silacayoapam	Mixtec	17.5541	-98.1163	sila1250	mks
SanMateoSindihuiMixtec	130	SanMateoSindihuiMixtec	San Mateo Sindihui	Mixtec	17.02	-97.3036	sind1277	xts
SanJoseSinicahuaMixtec	131	SanJoseSinicahuaMixtec	San José Sinicahua	Mixtec	17.2218	-97.5904	sini1243	xti
SanJeronimoSosolaMixtec	132	SanJeronimoSosolaMixtec	San Jerónimo Sosola	Mixtec	17.36657	-97.03295		
SanBartoloSoyaltepecMixtec	133	SanBartoloSoyaltepecMixtec	San Bartolo Soyaltepec	Mixtec	17.5892	-97.1921	soya1236	vmq
SanJuanTamazolaMixtec	134	SanJuanTamazolaMixtec	San Juan Tamazola	Mixtec	17.1258	-97.0998	tama1339	vmx
SantiagoTamazolaMixtec	135	SantiagoTamazolaMixtec	Santiago Tamazola	Mixtec	17.67041	-98.2216		
SantaMariaTataltepecMixtec	136	SantaMariaTataltepecMixtec	Santa María Tataltepec	Mixtec	17.14222	-97.39407	sant1444	
SanSebastianTecomaxtlahuacaMixtec	137	SanSebastianTecomaxtlahuacaMixtec	San Sebastián Tecomaxtlahuaca	Mixtec	17.34568	-98.0312		
SanJuanTeitaMixtec	138	SanJuanTeitaMixtec	San Juan Teita	Mixtec	17.1542	-97.3899	sanj1282	xtj
LosTejocotesMixtec	139	LosTejocotesMixtec	Los Tejocotes	Mixtec	17.31342	-97.89609		
TepangoMixtec	140	TepangoMixtec	Tepango	Mixtec	20.00242	-97.79622	ayut1236	miy
SanMateoTepantepecMixtec	141	SanMateoTepantepecMixtec	San Mateo Tepantepec	Mixtec	17.00277	-97.03289	sanm1297	mil
SanJuanTepeuxila1900Cuicatec	142	SanJuanTepeuxila1900Cuicatec	San Juan Tepeuxila 1900	Cuicatec	18.72299	-95.84118	tepe1280	cux
TepejilloMixtec	143	TepejilloMixtec	Tepejillo	Mixtec	18.05265	-97.83906		
SanAntonioTepetlapaMixtec	144	SanAntonioTepetlapaMixtec	San Antonio Tepetlapa	Mixtec	16.54182	-98.06578		
SanJuanTepeuxilaCuicatec	145	SanJuanTepeuxilaCuicatec	San Juan Tepeuxila	Cuicatec	17.72299	-96.84118	tepe1280	cux
SanPedroySanPabloTeposcolula1600Mixtec	146	SanPedroySanPabloTeposcolula1600Mixtec	San Pedro y San Pablo Teposcolula 1600	Mixtec	17.51167	-97.48883		
SanPedroTeutilaCuicatec	147	SanPedroTeutilaCuicatec	San Pedro Teutila	Cuicatec	17.97703	-96.705581	teut1235	cut
TezoatlanSegurayLunaMixtec	148	TezoatlanSegurayLunaMixtec	Tezoatlán de Segura y Luna	Mixtec	17.65084	-97.80972	tezo1239	mxb
SantaCatarinaTicuaMixtec	149	SantaCatarinaTicuaMixtec	Santa Catarina Ticuá	Mixtec	17.07332	-97.53638	sant1443	mig
SanPedroTidaaMixtec	150	SanPedroTidaaMixtec	San Pedro Tidaá	Mixtec	17.4142	-97.3333	tida1235	mtx
SanPabloTijaltepecMixtec	151	SanPabloTijaltepecMixtec	San Pablo Tijaltepec	Mixtec	17.1539	-97.4578	tija1235	xtl
SantiagoTilantongoMixtec	152	SantiagoTilantongoMixtec	Santiago Tilantongo	Mixtec	17.3596	-97.3861	diux1235	xtd
SantaMariaTinduMixtec	153	SantaMariaTinduMixtec	Santa María Tindú	Mixtec	17.48954	-97.93558		
