ID	PARAMETER_ID	CONCEPT	DOCULECT	SUBGROUP	VALUE	FORM	TOKENS	IPA	COGIDS_BROAD	COGIDS_FINE	LATITUDE	LONGITUDE	SOURCE
25	43_hand	HAND	AbasoloValleMixtec	Mixtec	nta'á	nta'á	ⁿd a ³ ʔ a ⁵	ⁿda³ʔa⁵	320	320	17.78287	-95.54381	galindo-sanchez2009vocabulario
26	3_back	BACK	AbasoloValleMixtec	Mixtec	sata	sata	s a ³ t a ³	sa³ta³	11	11	17.78287	-95.54381	galindo-sanchez2009vocabulario
27	37_foot	FOOT	AbasoloValleMixtec	Mixtec	tsa'a	tsa'a	ts a ³ ʔ a ³	tsa³ʔa³	258	258	17.78287	-95.54381	galindo-sanchez2009vocabulario
28	25_disease	DISEASE	AbasoloValleMixtec	Mixtec	kue'é	kue'é	kʷ e ³ ʔ e ⁵	kʷe³ʔe⁵	172	172	17.78287	-95.54381	galindo-sanchez2009vocabulario
29	182_pimple	PIMPLE	AbasoloValleMixtec	Mixtec	nti'í	nti'í	ⁿd i ³ ʔ i ⁵	ⁿdi³ʔi⁵	529	529	17.78287	-95.54381	galindo-sanchez2009vocabulario
30	16_clothorclothes	CLOTH OR CLOTHES	AbasoloValleMixtec	Mixtec	sa'ma	sa'ma	s a ³ ʔ m a ³	sa³ʔma³	112	112	17.78287	-95.54381	galindo-sanchez2009vocabulario
31	147_sandal	SANDAL	AbasoloValleMixtec	Mixtec	ntsítsa	ntsítsa	ⁿts i ⁵ ts a ³	ⁿtsi⁵tsa³	631	631	17.78287	-95.54381	galindo-sanchez2009vocabulario
32	223_trousers	TROUSERS	AbasoloValleMixtec	Mixtec	tsatu	tsatu	ts a ³ t u ³	tsa³tu³	802	802	17.78287	-95.54381	galindo-sanchez2009vocabulario
33	104_townorvillage	TOWN OR VILLAGE	AbasoloValleMixtec	Mixtec	ñuu	ñuu	ɲ u ³ u ³	ɲu³u³	794	794	17.78287	-95.54381	galindo-sanchez2009vocabulario
34	49_house	HOUSE	AbasoloValleMixtec	Mixtec	ve'e	ve'e	β e ³ ʔ e ³	βe³ʔe³	363	363	17.78287	-95.54381	galindo-sanchez2009vocabulario
35	73_path	PATH	AbasoloValleMixtec	Mixtec	ichi	ichi	i ³ tʃ i ³	i³tʃi³	523	523	17.78287	-95.54381	galindo-sanchez2009vocabulario
36	210_post	POST	AbasoloValleMixtec	Mixtec	si'ìn	si'ìn	s i ³ ʔ ĩ ¹	si³ʔĩ¹	387	387	17.78287	-95.54381	galindo-sanchez2009vocabulario
37	177_mat	MAT	AbasoloValleMixtec	Mixtec	yuvi	yuvi	ʒ u ³ β i ³	ʒu³βi³	416	416	17.78287	-95.54381	galindo-sanchez2009vocabulario
38	154_bed	BED	AbasoloValleMixtec	Mixtec	tsíto	tsíto	ts i ⁵ t o ¹	tsi⁵to¹	26	26	17.78287	-95.54381	galindo-sanchez2009vocabulario
39	192_stool	STOOL	AbasoloValleMixtec	Mixtec	chai	chai	tʃ a ³ i ³	tʃa³i³	717	717	17.78287	-95.54381	galindo-sanchez2009vocabulario
40	1_animal	ANIMAL	AbasoloValleMixtec	Mixtec	kiti	kiti	k i ³ t i ³	ki³ti³	2	2	17.78287	-95.54381	galindo-sanchez2009vocabulario
41	9_bird	BIRD	AbasoloValleMixtec	Mixtec	saa	saa	s a ³ a ³	sa³a³	49	49	17.78287	-95.54381	galindo-sanchez2009vocabulario
42	34_fish	FISH	AbasoloValleMixtec	Mixtec	chaká	chaká	tʃ a ³ k a ⁵	tʃa³ka⁵	9 242	9 242	17.78287	-95.54381	galindo-sanchez2009vocabulario
43	95_snake	SNAKE	AbasoloValleMixtec	Mixtec	kòò	kòò	k o ¹ o ¹	ko¹o¹	689	689	17.78287	-95.54381	galindo-sanchez2009vocabulario
44	166_frog	FROG	AbasoloValleMixtec	Mixtec	sa'va	sa'va	s a ³ ʔ β a ³	sa³ʔβa³	263	263	17.78287	-95.54381	galindo-sanchez2009vocabulario
45	207_hawk	HAWK	AbasoloValleMixtec	Mixtec	xi'an	xi'an	ʃ i ³ ʔ ã ³	ʃi³ʔã³	193	193	17.78287	-95.54381	galindo-sanchez2009vocabulario
46	155_bee	BEE	AbasoloValleMixtec	Mixtec	ñuñu	ñuñu	ɲ u ³ ɲ u ³	ɲu³ɲu³	29	29	17.78287	-95.54381	galindo-sanchez2009vocabulario
47	208_muroidmouseorrat	MUROID (MOUSE OR RAT)	AbasoloValleMixtec	Mixtec	ti'in	ti'in	t i ³ ʔ ĩ ³	ti³ʔĩ³	444	444	17.78287	-95.54381	galindo-sanchez2009vocabulario
48	23_deer	DEER	AbasoloValleMixtec	Mixtec	isu	isu	i ³ s u ³	i³su³	164	164	17.78287	-95.54381	galindo-sanchez2009vocabulario
49	213_squirrel	SQUIRREL	AbasoloValleMixtec	Mixtec	ntikuain	nti-kuain	ⁿd i ³ + kʷ a ³ ĩ ³	ⁿdi³+kʷa³ĩ³	35 698	35 698	17.78287	-95.54381	galindo-sanchez2009vocabulario
50	77_possum	POSSUM	AbasoloValleMixtec	Mixtec	tsoko	tsoko	ts o ³ k o ¹	tso³ko¹	554	554	17.78287	-95.54381	galindo-sanchez2009vocabulario
51	211_raccoon	RACCOON	AbasoloValleMixtec	Mixtec	ma'àn	ma'àn	m a ³ ʔ ã ¹	ma³ʔã¹	582	582	17.78287	-95.54381	galindo-sanchez2009vocabulario
52	26_dog	DOG	AbasoloValleMixtec	Mixtec	tina	tina	t + i ³ n a ³	t+i³na³	9 174	9 174	17.78287	-95.54381	galindo-sanchez2009vocabulario
53	13_cat	CAT	AbasoloValleMixtec	Mixtec	vilu	vilu	β i ³ l u ³	βi³lu³	91	91	17.78287	-95.54381	galindo-sanchez2009vocabulario
54	85_rooster	ROOSTER	AbasoloValleMixtec	Mixtec	to'lo	to'lo	t o ³ ʔ l o ¹	to³ʔlo¹	615	615	17.78287	-95.54381	galindo-sanchez2009vocabulario
55	45_hen	HEN	AbasoloValleMixtec	Mixtec	chata	chata	tʃ a ³ t a ³	tʃa³ta³	328	328	17.78287	-95.54381	galindo-sanchez2009vocabulario
56	74_pig	PIG	AbasoloValleMixtec	Mixtec	kìni	kìni	k i ¹ n i ³	ki¹ni³	526	526	17.78287	-95.54381	galindo-sanchez2009vocabulario
58	91_sheep	SHEEP	AbasoloValleMixtec	Mixtec	ntikachi	nti-kachi	ⁿd i ³ + k a ³ tʃ i ³	ⁿdi³+ka³tʃi³	35 1044 157	35 1044 157	17.78287	-95.54381	galindo-sanchez2009vocabulario
59	152_ant	ANT	AbasoloValleMixtec	Mixtec	choko	choko	tʃ + o ³ k o ¹	tʃ+o³ko¹	9 882	9 882	17.78287	-95.54381	galindo-sanchez2009vocabulario
60	47_hornanatomy	HORN (ANATOMY)	AbasoloValleMixtec	Mixtec	ntiki	ntiki	ⁿd i ³ k i ³	ⁿdi³ki³	350	350	17.78287	-95.54381	galindo-sanchez2009vocabulario
61	164_feather	FEATHER	AbasoloValleMixtec	Mixtec	túmi	túmi	t u ⁵ m i ³	tu⁵mi³	227	227	17.78287	-95.54381	galindo-sanchez2009vocabulario
62	150_tail	TAIL	AbasoloValleMixtec	Mixtec	nto'o	nto'o	ⁿd o ³ ʔ o ¹	ⁿdo³ʔo¹	748	748	17.78287	-95.54381	galindo-sanchez2009vocabulario
63	105_tree	TREE	AbasoloValleMixtec	Mixtec	yutu	yutu	ʒ u ³ t u ³	ʒu³tu³	799	799	17.78287	-95.54381	galindo-sanchez2009vocabulario
64	217_herbaceousplant	HERBACEOUS PLANT	AbasoloValleMixtec	Mixtec	kù'ù	kù'ù	k u ¹ ʔ u ¹	ku¹ʔu¹	334	334	17.78287	-95.54381	galindo-sanchez2009vocabulario
65	40_grass	GRASS	AbasoloValleMixtec	Mixtec	icha	icha	i ³ tʃ a ³	i³tʃa³	294	294	17.78287	-95.54381	galindo-sanchez2009vocabulario
66	36_flower	FLOWER	AbasoloValleMixtec	Mixtec	ita	ita	i ³ t a ³	i³ta³	246	246	17.78287	-95.54381	galindo-sanchez2009vocabulario
67	218_maguey	MAGUEY	AbasoloValleMixtec	Mixtec	yàvì	yàvì	ʒ a ¹ β i ¹	ʒa¹βi¹	409	409	17.78287	-95.54381	galindo-sanchez2009vocabulario
68	186_root	ROOT	AbasoloValleMixtec	Mixtec	yo'o	yo'o	ʒ o ³ ʔ o ¹	ʒo³ʔo¹	619	619	17.78287	-95.54381	galindo-sanchez2009vocabulario
69	195_thorn	THORN	AbasoloValleMixtec	Mixtec	iñu	iñu	i ³ ɲ u ³	i³ɲu³	764	764	17.78287	-95.54381	galindo-sanchez2009vocabulario
70	18_corn	CORN	AbasoloValleMixtec	Mixtec	nuni	nuni	n u ³ n i ³	nu³ni³	141	141	17.78287	-95.54381	galindo-sanchez2009vocabulario
71	19_cornfield	CORN FIELD	AbasoloValleMixtec	Mixtec	itu	itu	i ³ t u ³	i³tu³	145	145	17.78287	-95.54381	galindo-sanchez2009vocabulario
72	132_earofcornfresh	EAR OF CORN (FRESH)	AbasoloValleMixtec	Mixtec	ntíxi	ntíxi	ⁿd i ⁵ ʃ i ³	ⁿdi⁵ʃi³	199	199	17.78287	-95.54381	galindo-sanchez2009vocabulario
73	209_nixtamal	NIXTAMAL	AbasoloValleMixtec	Mixtec	tsá'á	tsá'á	ts a ⁵ ʔ a ⁵	tsa⁵ʔa⁵	492	492	17.78287	-95.54381	galindo-sanchez2009vocabulario
74	203_corndough	CORN DOUGH	AbasoloValleMixtec	Mixtec	yutsa	yutsa	ʒ u ³ ts a ³	ʒu³tsa³	142	142	17.78287	-95.54381	galindo-sanchez2009vocabulario
75	103_tortilla	TORTILLA	AbasoloValleMixtec	Mixtec	staa	staa	s t a ³ a ³	sta³a³	789	789	17.78287	-95.54381	galindo-sanchez2009vocabulario
76	167_furrow	FURROW	AbasoloValleMixtec	Mixtec	yuku	yuku	ʒ u ³ k u ³	ʒu³ku³	272	272	17.78287	-95.54381	galindo-sanchez2009vocabulario
77	194_tassel	TASSEL	AbasoloValleMixtec	Mixtec	yòko	yòko	ʒ o ¹ k o ¹	ʒo¹ko¹	751	751	17.78287	-95.54381	galindo-sanchez2009vocabulario
78	121_bean	BEAN	AbasoloValleMixtec	Mixtec	ntuchi	ntuchi	ⁿd u ³ tʃ i ³	ⁿdu³tʃi³	24	24	17.78287	-95.54381	galindo-sanchez2009vocabulario
79	206_greenbean	GREEN BEAN	AbasoloValleMixtec	Mixtec	nchichi	nchichi	ⁿtʃ i ³ tʃ i ³	ⁿtʃi³tʃi³	308	308	17.78287	-95.54381	galindo-sanchez2009vocabulario
80	124_chilipepper	CHILI PEPPER	AbasoloValleMixtec	Mixtec	ya'a	ya'a	ʒ a ³ ʔ a ³	ʒa³ʔa³	107	107	17.78287	-95.54381	galindo-sanchez2009vocabulario
81	87_salt	SALT	AbasoloValleMixtec	Mixtec	iìn	iìn	ĩ ³ ĩ ¹	ĩ³ĩ¹	624	624	17.78287	-95.54381	galindo-sanchez2009vocabulario
82	80_pumpkin	PUMPKIN	AbasoloValleMixtec	Mixtec	iki	iki	i ³ k i ³	i³ki³	570	570	17.78287	-95.54381	galindo-sanchez2009vocabulario
83	14_chayote	CHAYOTE	AbasoloValleMixtec	Mixtec	naña	naña	n a ³ ɲ a ³	na³ɲa³	96	96	17.78287	-95.54381	galindo-sanchez2009vocabulario
84	97_sugarcane	SUGAR CANE	AbasoloValleMixtec	Mixtec	ntòò	ntòò	ⁿd o ¹ o ¹	ⁿdo¹o¹	734	734	17.78287	-95.54381	galindo-sanchez2009vocabulario
85	171_honey	HONEY	AbasoloValleMixtec	Mixtec	ntuxi	ntuxi	ⁿd u ³ ʃ i ³	ⁿdu³ʃi³	344	344	17.78287	-95.54381	galindo-sanchez2009vocabulario
86	31_fatfromanimals	FAT (FROM ANIMALS)	AbasoloValleMixtec	Mixtec	xa'an	xa'an	ʃ a ³ ʔ ã ³	ʃa³ʔã³	216	216	17.78287	-95.54381	galindo-sanchez2009vocabulario
87	27_egg	EGG	AbasoloValleMixtec	Mixtec	ntívi	ntívi	ⁿd i ⁵ β i ³	ⁿdi⁵βi³	204	204	17.78287	-95.54381	galindo-sanchez2009vocabulario
88	214_sweetpotato	SWEET POTATO	AbasoloValleMixtec	Mixtec	ña'mi	ña'mi	ɲ a ³ ʔ m i ³	ɲa³ʔmi³	738	738	17.78287	-95.54381	galindo-sanchez2009vocabulario
89	2_avocado	AVOCADO	AbasoloValleMixtec	Mixtec	tichi	tichi	t i ³ tʃ i ³	ti³tʃi³	8	8	17.78287	-95.54381	galindo-sanchez2009vocabulario
90	4_banana	BANANA	AbasoloValleMixtec	Mixtec	nchikà	nchikà	ⁿtʃ i ³ k a ¹	ⁿtʃi³ka¹	13	13	17.78287	-95.54381	galindo-sanchez2009vocabulario
91	78_pricklypearcactus	PRICKLY PEAR CACTUS	AbasoloValleMixtec	Mixtec	mi'ncha	mi'ncha	m i ³ ʔ ⁿtʃ a ³	mi³ʔⁿtʃa³	564	564	17.78287	-95.54381	galindo-sanchez2009vocabulario
92	64_mushroom	MUSHROOM	AbasoloValleMixtec	Mixtec	tsi'i	tsi'i	ts i ³ ʔ i ³	tsi³ʔi³	455	455T	17.78287	-95.54381	galindo-sanchez2009vocabulario
93	54_meat	MEAT	AbasoloValleMixtec	Mixtec	kuñu	kuñu	k u ³ ɲ u ³	ku³ɲu³	418	418	17.78287	-95.54381	galindo-sanchez2009vocabulario
94	170_griddle	GRIDDLE	AbasoloValleMixtec	Mixtec	tsio	tsio	ts i ³ o ¹	tsi³o¹	310	310	17.78287	-95.54381	galindo-sanchez2009vocabulario
95	17_cookingpot	COOKING POT	AbasoloValleMixtec	Mixtec	kìsi	kìsi	k i ¹ s i ³	ki¹si³	138	138	17.78287	-95.54381	galindo-sanchez2009vocabulario
96	181_oven	OVEN	AbasoloValleMixtec	Mixtec	tsìtù	tsìtù	ts i ¹ t u ¹	tsi¹tu¹	17	17	17.78287	-95.54381	galindo-sanchez2009vocabulario
97	134_fire	FIRE	AbasoloValleMixtec	Mixtec	ñu'un	ñu'un	ɲ u ³ ʔ ũ ³	ɲu³ʔũ³	240	240	17.78287	-95.54381	galindo-sanchez2009vocabulario
98	153_ash	ASH	AbasoloValleMixtec	Mixtec	yàà	yàà	ʒ a ¹ a ¹	ʒa¹a¹	5	5	17.78287	-95.54381	galindo-sanchez2009vocabulario
99	188_smokeexhaust	SMOKE (EXHAUST)	AbasoloValleMixtec	Mixtec	ñu'ma	ñu'ma	ɲ u ³ ʔ m a ³	ɲu³ʔma³	682	682	17.78287	-95.54381	galindo-sanchez2009vocabulario
100	168_garbage	GARBAGE	AbasoloValleMixtec	Mixtec	mi'í	mi'í	m i ³ ʔ i ⁵	mi³ʔi⁵	279	279	17.78287	-95.54381	galindo-sanchez2009vocabulario
101	75_plate	PLATE	AbasoloValleMixtec	Mixtec	ko'o	ko'o	k o ³ ʔ o ¹	ko³ʔo¹	545	545	17.78287	-95.54381	galindo-sanchez2009vocabulario
102	135_gourdbowl	GOURD BOWL	AbasoloValleMixtec	Mixtec	yatsi	yatsi	ʒ a ³ ts i ³	ʒa³tsi³	291	291	17.78287	-95.54381	galindo-sanchez2009vocabulario
103	100_thread	THREAD	AbasoloValleMixtec	Mixtec	yu'va	yu'va	ʒ u ³ ʔ β a ³	ʒu³ʔβa³	768	768	17.78287	-95.54381	galindo-sanchez2009vocabulario
104	161_comb	COMB	AbasoloValleMixtec	Mixtec	kuika	kuika	kʷ i ³ k a ³	kʷi³ka³	136	136	17.78287	-95.54381	galindo-sanchez2009vocabulario
106	46_hole	HOLE	AbasoloValleMixtec	Mixtec	yavi	yavi	ʒ a ³ β i ³	ʒa³βi³	341	341	17.78287	-95.54381	galindo-sanchez2009vocabulario
107	190_soap	SOAP	AbasoloValleMixtec	Mixtec	nama	nama	n a ³ m a ³	na³ma³	690	690	17.78287	-95.54381	galindo-sanchez2009vocabulario
108	185_ring	RING	AbasoloValleMixtec	Mixtec	xe'e	xe'e	ʃ e ³ ʔ e ³	ʃe³ʔe³	604	604	17.78287	-95.54381	galindo-sanchez2009vocabulario
109	140_moon	MOON	AbasoloValleMixtec	Mixtec	yòò	yòò	ʒ o ¹ o ¹	ʒo¹o¹	430	430	17.78287	-95.54381	galindo-sanchez2009vocabulario
110	126_cloud	CLOUD	AbasoloValleMixtec	Mixtec	víkò	víkò	β i ⁵ k o ¹	βi⁵ko¹	120	120	17.78287	-95.54381	galindo-sanchez2009vocabulario
111	109_water	WATER	AbasoloValleMixtec	Mixtec	chikui	chikui	tʃ i ³ + kʷ i ³	tʃi³+kʷi³	222 400	222 400	17.78287	-95.54381	galindo-sanchez2009vocabulario
112	82_rainprecipitation	RAIN (PRECIPITATION)	AbasoloValleMixtec	Mixtec	savi	savi	s a ³ β i ³	sa³βi³	586	586	17.78287	-95.54381	galindo-sanchez2009vocabulario
113	146_river	RIVER	AbasoloValleMixtec	Mixtec	yùcha	yùcha	ʒ u ¹ tʃ a ³	ʒu¹tʃa³	607	607	17.78287	-95.54381	galindo-sanchez2009vocabulario
114	96_stoneorrock	STONE OR ROCK	AbasoloValleMixtec	Mixtec	yùù	yùù	ʒ u ¹ u ¹	ʒu¹u¹	710	710	17.78287	-95.54381	galindo-sanchez2009vocabulario
115	127_cotton	COTTON	AbasoloValleMixtec	Mixtec	kàchi	kàchi	k a ¹ tʃ i ³	ka¹tʃi³	157	157	17.78287	-95.54381	galindo-sanchez2009vocabulario
116	178_iron	IRON	AbasoloValleMixtec	Mixtec	kaa	kaa	k a ³ a ³	ka³a³	368	368	17.78287	-95.54381	galindo-sanchez2009vocabulario
117	72_paper	PAPER	AbasoloValleMixtec	Mixtec	tutu	tutu	t u ³ t u ³	tu³tu³	520	520	17.78287	-95.54381	galindo-sanchez2009vocabulario
118	52_limematerial	LIME (MATERIAL)	AbasoloValleMixtec	Mixtec	kàkà	kàkà	k a ¹ k a ¹	ka¹ka¹	399	399	17.78287	-95.54381	galindo-sanchez2009vocabulario
119	122_beeswax	BEESWAX	AbasoloValleMixtec	Mixtec	ñùma	ñùma	ɲ u ¹ m a ³	ɲu¹ma³	33	33	17.78287	-95.54381	galindo-sanchez2009vocabulario
120	62_mud	MUD	AbasoloValleMixtec	Mixtec	nchá'í	nchá'í	ⁿtʃ a ⁵ ʔ i ⁵	ⁿtʃa⁵ʔi⁵	449	449	17.78287	-95.54381	galindo-sanchez2009vocabulario
121	163_dust	DUST	AbasoloValleMixtec	Mixtec	yaka	yaka	ʒ a ³ k a ³	ʒa³ka³	183	183	17.78287	-95.54381	galindo-sanchez2009vocabulario
122	83_red	RED	AbasoloValleMixtec	Mixtec	kua'a	kua'a	kʷ a ³ ʔ a ³	kʷa³ʔa³	595	595	17.78287	-95.54381	galindo-sanchez2009vocabulario
123	169_green	GREEN	AbasoloValleMixtec	Mixtec	kui	kui	kʷ i ³	kʷi³	305	305	17.78287	-95.54381	galindo-sanchez2009vocabulario
124	117_yellow	YELLOW	AbasoloValleMixtec	Mixtec	kuan	kuan	kʷ ã ³	kʷã³	876	876	17.78287	-95.54381	galindo-sanchez2009vocabulario
125	10_black	BLACK	AbasoloValleMixtec	Mixtec	ncha'í	ncha'í	ⁿtʃ a ³ ʔ i ⁵	ⁿtʃa³ʔi⁵	55	55	17.78287	-95.54381	galindo-sanchez2009vocabulario
126	111_white	WHITE	AbasoloValleMixtec	Mixtec	yaa	yaa	ʒ a ³ a ³	ʒa³a³	843	843	17.78287	-95.54381	galindo-sanchez2009vocabulario
127	71_one	ONE	AbasoloValleMixtec	Mixtec	in	in	ĩ ³	ĩ³	507	507	17.78287	-95.54381	galindo-sanchez2009vocabulario
128	107_two	TWO	AbasoloValleMixtec	Mixtec	uvi	uvi	u ³ β i ³	u³βi³	811	811	17.78287	-95.54381	galindo-sanchez2009vocabulario
129	101_three	THREE	AbasoloValleMixtec	Mixtec	ùni	ùni	u ¹ n i ³	u¹ni³	771	771	17.78287	-95.54381	galindo-sanchez2009vocabulario
130	38_four	FOUR	AbasoloValleMixtec	Mixtec	kùmi	kùmi	k u ¹ m i ³	ku¹mi³	260	260	17.78287	-95.54381	galindo-sanchez2009vocabulario
131	35_five	FIVE	AbasoloValleMixtec	Mixtec	u'un	u'un	u ³ ʔ ũ ³	u³ʔũ³	244	244	17.78287	-95.54381	galindo-sanchez2009vocabulario
132	92_six	SIX	AbasoloValleMixtec	Mixtec	ìñu	ìñu	i ¹ ɲ u ³	i¹ɲu³	652	652	17.78287	-95.54381	galindo-sanchez2009vocabulario
133	90_seven	SEVEN	AbasoloValleMixtec	Mixtec	utsa	utsa	u ³ ts a ³	u³tsa³	638	638	17.78287	-95.54381	galindo-sanchez2009vocabulario
134	28_eight	EIGHT	AbasoloValleMixtec	Mixtec	ùna	ùna	u ¹ n a ³	u¹na³	207	207	17.78287	-95.54381	galindo-sanchez2009vocabulario
135	68_nine	NINE	AbasoloValleMixtec	Mixtec	ììn	ììn	ĩ ¹ ĩ ¹	ĩ¹ĩ¹	490	490	17.78287	-95.54381	galindo-sanchez2009vocabulario
136	99_ten	TEN	AbasoloValleMixtec	Mixtec	utsi	utsi	u ³ ts i ³	u³tsi³	761	761	17.78287	-95.54381	galindo-sanchez2009vocabulario
137	33_fifteen	FIFTEEN	AbasoloValleMixtec	Mixtec	tsa'un	tsa'un	ts a ³ ʔ ũ ³	tsa³ʔũ³	234	234	17.78287	-95.54381	galindo-sanchez2009vocabulario
138	106_twenty	TWENTY	AbasoloValleMixtec	Mixtec	oko	oko	o ³ k o ¹	o³ko¹	809	809	17.78287	-95.54381	galindo-sanchez2009vocabulario
139	76_poor	POOR	AbasoloValleMixtec	Mixtec	nta'vi	nta'vi	ⁿd a ³ ʔ β i ³	ⁿda³ʔβi³	548	548	17.78287	-95.54381	galindo-sanchez2009vocabulario
140	160_cold	COLD	AbasoloValleMixtec	Mixtec	vítsi	vítsi	β i ⁵ ts i ³	βi⁵tsi³	129	129	17.78287	-95.54381	galindo-sanchez2009vocabulario
141	48_hot	HOT	AbasoloValleMixtec	Mixtec	i'ni	i'ni	i ³ ʔ n i ³	i³ʔni³	357	357	17.78287	-95.54381	galindo-sanchez2009vocabulario
142	8_bigsingular	BIG (SINGULAR)	AbasoloValleMixtec	Mixtec	ka'nu	ka'nu	k a ³ ʔ n u ³	ka³ʔnu³	44	44	17.78287	-95.54381	galindo-sanchez2009vocabulario
143	94_smallsingular	SMALL (SINGULAR)	AbasoloValleMixtec	Mixtec	luu	luu	l u ³ u ³	lu³u³	673	673	17.78287	-95.54381	galindo-sanchez2009vocabulario
144	51_longsingular	LONG (SINGULAR)	AbasoloValleMixtec	Mixtec	kani	kani	k a ³ n i ³	ka³ni³	406	406	17.78287	-95.54381	galindo-sanchez2009vocabulario
145	39_good	GOOD	AbasoloValleMixtec	Mixtec	va'a	va'a	β a ³ ʔ a ³	βa³ʔa³	286	286	17.78287	-95.54381	galindo-sanchez2009vocabulario
146	275_sweet	SWEET	AbasoloValleMixtec	Mixtec	vixi	vixi	β i ³ ʃ i ³	βi³ʃi³	735	735	17.78287	-95.54381	galindo-sanchez2009vocabulario
